date,open,high,low,close,volume
5/24/2022,257.890015,261.329987,253.5,259.619995,29043900
5/25/2022,258.140015,264.579987,257.130005,262.519989,28547900
5/26/2022,262.269989,267.109985,261.429993,265.899994,25002100
5/27/2022,268.480011,273.339996,267.559998,273.23999,26910800
5/31/2022,272.529999,274.769989,268.929993,271.869995,37827700
6/1/2022,275.200012,277.690002,270.040009,272.420013,25292200
6/2/2022,264.450012,274.649994,261.600006,274.579987,44008200
6/3/2022,270.309998,273.450012,268.410004,270.019989,28059000
6/6/2022,272.059998,274.179993,267.220001,268.75,22400300
6/7/2022,266.640015,273.130005,265.940002,272.5,22860700
6/8/2022,271.709991,273,269.609985,270.410004,17372300
6/9/2022,267.779999,272.709991,264.630005,264.790009,26439700
6/10/2022,260.579987,260.579987,252.529999,252.990005,31422800
6/13/2022,245.110001,249.020004,241.529999,242.259995,46135800
6/14/2022,243.860001,245.740005,241.509995,244.490005,28651500
6/15/2022,248.309998,255.300003,246.419998,251.759995,33111700
6/16/2022,245.979996,247.419998,243.020004,244.970001,33169200
6/17/2022,244.699997,250.5,244.029999,247.649994,43084800
6/21/2022,250.259995,254.75,249.509995,253.740005,29928300
6/22/2022,251.889999,257.170013,250.369995,253.130005,25939900
6/23/2022,255.570007,259.369995,253.630005,258.859985,25861400
6/24/2022,261.809998,267.980011,261.720001,267.700012,33923200
6/27/2022,268.209991,268.299988,263.279999,264.890015,24615100
6/28/2022,263.980011,266.910004,256.320007,256.480011,27295500
6/29/2022,257.589996,261.970001,255.759995,260.26001,20069800
6/30/2022,257.049988,259.529999,252.899994,256.829987,31730900
7/1/2022,256.390015,259.769989,254.610001,259.579987,22837700
7/5/2022,256.160004,262.980011,254.740005,262.850006,22941000
7/6/2022,263.75,267.98999,262.399994,266.209991,23824400
7/7/2022,265.119995,269.059998,265.019989,268.399994,20859900
7/8/2022,264.790009,268.100006,263.290009,267.660004,19658800
7/11/2022,265.649994,266.529999,262.179993,264.51001,19455200
7/12/2022,265.880005,265.940002,252.039993,253.669998,35868500
7/13/2022,250.190002,253.550003,248.110001,252.720001,29497400
7/14/2022,250.570007,255.139999,245.940002,254.080002,25102800
7/15/2022,255.720001,260.369995,254.770004,256.720001,29774100
7/18/2022,259.75,260.839996,253.300003,254.25,20975000
7/19/2022,257.579987,259.720001,253.679993,259.529999,25012600
7/20/2022,259.899994,264.869995,258.910004,262.269989,22788300
7/21/2022,259.790009,264.890015,257.029999,264.839996,22404700
7/22/2022,265.23999,265.329987,259.070007,260.359985,21881300
7/25/2022,261,261.5,256.809998,258.829987,21056000
